task_id,dataset_name,model_name,horizon,n_support,n_query,seasonal_period,rmse,mae,smape
btc_task_009,BTC,ETS,5,,365,,111.92181725820413,61.68444020461731,0.00827682985161921
btc_task_009,BTC,LocalDLinear_L5_K3_ep20,5,,365,,122.87993025486713,72.51887548159246,0.009695104601189086
btc_task_009,BTC,LocalFITS_L5_Cauto_ep20,5,,365,,117.32845050350531,67.0745512093322,0.008984259626656197
btc_task_009,BTC,Naive,5,,365,,112.11138507189949,62.01964383561639,0.008316307154750758
btc_task_009,BTC,SES,5,,365,,112.06946117798877,62.19392877057641,0.008339955014201933
btc_task_009,BTC,SeasonalNaive,5,,365,,311.1545709085121,218.87298630136982,0.02952523798241365
btc_task_009,BTC,Theta,5,,365,,112.30725461173736,62.141714279618995,0.0083395308173509
btc_task_010,BTC,AdaptSmooth-Chronos2,5,,261,,250.83128937531822,153.92827005269748,0.005526452733525511
btc_task_010,BTC,AutoARIMA,5,,261,,257.6676912362707,169.47417998894372,0.006144186920920663
btc_task_010,BTC,Chronos2,5,,261,,260.32110940071095,161.55559386973184,0.005804001976365726
btc_task_010,BTC,ChronosBolt_Mini,5,,261,,239.50333442915158,155.94547892720314,0.005599814207659492
btc_task_010,BTC,ChronosBolt_Tiny,5,,261,,237.61020302586414,155.64134099616862,0.005587947643364234
btc_task_010,BTC,Drift,5,,261,,242.2979953963781,150.54207944288476,0.00540546549393858
btc_task_010,BTC,ETS,5,,261,,245.30548246770485,154.36686147018477,0.005519727296702267
btc_task_010,BTC,LocalDLinear_L5_K3_ep20,5,,261,,326.38321005551063,225.5717130627396,0.008140513960909028
btc_task_010,BTC,LocalFITS_L5_Cauto_ep20,5,,261,,260.0238316760776,163.87467253352497,0.005874927010051967
btc_task_010,BTC,Naive,5,,261,,242.1378074046113,148.9766283524904,0.005350389895666125
btc_task_010,BTC,SES,5,,261,,242.85576772348844,148.94477620168038,0.005347771083403089
btc_task_010,BTC,SeasonalNaive,5,,261,,900.9827750231997,656.8688505747127,0.023897208846639317
btc_task_010,BTC,Theta,5,,261,,242.4002550475017,148.90298782899126,0.005344946752774634
btc_task_011,BTC,AdaptSmooth-Chronos2,5,,384,,868.7354108039185,603.5585995631731,0.012066962790670007
btc_task_011,BTC,AutoARIMA,5,,384,,838.4415015292423,589.2796718517219,0.01176780511912648
btc_task_011,BTC,Chronos2,5,,384,,875.8633312564144,615.9100520833334,0.012313661246879805
btc_task_011,BTC,ChronosBolt_Mini,5,,384,,895.3181269096011,635.7807291666667,0.012658515415930044
btc_task_011,BTC,ChronosBolt_Tiny,5,,384,,892.2646627390982,619.5533333333334,0.01233056865301821
btc_task_011,BTC,Drift,5,,384,,856.1960361319371,603.130537204418,0.01203986393248703
btc_task_011,BTC,ETS,5,,384,,880.7288314307123,621.5330022507551,0.012440019867081565
btc_task_011,BTC,LocalDLinear_L5_K3_ep20,5,,384,,1023.9987691219093,761.7098266601562,0.015311770655531845
btc_task_011,BTC,LocalFITS_L5_Cauto_ep20,5,,384,,904.7092645401286,650.409608154297,0.013013731192655496
btc_task_011,BTC,Naive,5,,384,,835.6085911903331,588.5321093749995,0.01176157911271819
btc_task_011,BTC,SES,5,,384,,837.9799910598682,592.7554724762919,0.01185086135529409
btc_task_011,BTC,SeasonalNaive,5,,384,,2511.8555396091883,1897.5154427083332,0.03762628734987256
btc_task_011,BTC,Theta,5,,384,,845.2602845411943,596.2607655055536,0.011916634288951233
btc_task_012,BTC,AdaptSmooth-Chronos2,5,,188,,59.59175660799521,40.52707807935655,0.006213177192330636
btc_task_012,BTC,AutoARIMA,5,,188,,73.02121745179372,51.437517614131224,0.007875781931399595
btc_task_012,BTC,Chronos2,5,,188,,62.635075067596105,42.70287234042549,0.006551559456115098
btc_task_012,BTC,ChronosBolt_Mini,5,,188,,61.46645055326538,42.401170212765926,0.006504999175693582
btc_task_012,BTC,ChronosBolt_Tiny,5,,188,,63.32594734740891,43.52372340425529,0.006662892838458818
btc_task_012,BTC,Drift,5,,188,,59.37009352757643,42.00208206873947,0.006463902581548417
btc_task_012,BTC,ETS,5,,188,,59.45241964595601,42.08299276191953,0.006476728864562411
btc_task_012,BTC,LocalDLinear_L5_K3_ep20,5,,188,,81.65376899884225,61.551326878324424,0.009420079796923006
btc_task_012,BTC,LocalFITS_L5_Cauto_ep20,5,,188,,65.73014953625288,45.67597780917549,0.007000795722453186
btc_task_012,BTC,Naive,5,,188,,57.018759254432084,38.43239361702118,0.005892359975356254
btc_task_012,BTC,SES,5,,188,,57.018759254432084,38.43239361702118,0.005892359975356254
btc_task_012,BTC,SeasonalNaive,5,,188,,159.88410384473505,125.5107978723404,0.01925245171824544
btc_task_012,BTC,Theta,5,,188,,57.077599228876025,39.37267874094335,0.006042724626543639
btc_task_013,BTC,AdaptSmooth-Chronos2,5,,149,,71.77231247545713,46.066195876016714,0.012250145504899975
btc_task_013,BTC,AutoARIMA,5,,149,,71.38336778721144,45.54449664429532,0.012109085388096325
btc_task_013,BTC,Chronos2,5,,149,,73.01716256833186,47.96214765100673,0.012740836619059776
btc_task_013,BTC,ChronosBolt_Mini,5,,149,,72.39283579074316,49.08348993288591,0.013025985367815754
btc_task_013,BTC,ChronosBolt_Tiny,5,,149,,73.10855027621554,48.53006711409397,0.012926666931055524
btc_task_013,BTC,Drift,5,,149,,71.8350373399777,46.29923654935474,0.012308365696008202
btc_task_013,BTC,ETS,5,,149,,74.90551561962711,48.93276743489447,0.013006422972207055
btc_task_013,BTC,LocalDLinear_L5_K3_ep20,5,,149,,84.63625561156648,58.77290602716024,0.015743423698761187
btc_task_013,BTC,LocalFITS_L5_Cauto_ep20,5,,149,,76.41741878808365,50.82025272651007,0.013510508714271348
btc_task_013,BTC,Naive,5,,149,,71.38336778721144,45.54449664429532,0.012109085388096325
btc_task_013,BTC,SES,5,,149,,71.8445927796983,45.88973246273145,0.012195278240038875
btc_task_013,BTC,SeasonalNaive,5,,149,,191.41680272230423,163.96395973154367,0.04454344820260962
btc_task_013,BTC,Theta,5,,149,,71.79959117762812,46.05218464391301,0.01223888263353914
btc_task_014,BTC,AdaptSmooth-Chronos2,5,,193,,144.76538210928817,104.62132164301114,0.012283185459722594
btc_task_014,BTC,AutoARIMA,5,,193,,137.64011918523775,97.43575129533684,0.011448899189091599
btc_task_014,BTC,Chronos2,5,,193,,155.79538160028773,113.67601036269427,0.013341528196553263
btc_task_014,BTC,ChronosBolt_Mini,5,,193,,146.7805534672962,108.55124352331602,0.012697224755692089
btc_task_014,BTC,ChronosBolt_Tiny,5,,193,,150.19820651013146,113.3236787564767,0.013250328103556013
btc_task_014,BTC,Drift,5,,193,,142.24403812696855,99.70712586116697,0.0117251939567478
btc_task_014,BTC,ETS,5,,193,,142.2391970569234,99.69187650534398,0.011723546495860587
btc_task_014,BTC,LocalDLinear_L5_K3_ep20,5,,193,,172.24011301063226,128.19541329339376,0.015095665043968089
btc_task_014,BTC,LocalFITS_L5_Cauto_ep20,5,,193,,149.26942811248614,110.26463426975387,0.01297090563383207
btc_task_014,BTC,Naive,5,,193,,137.64011918523775,97.43575129533684,0.011448899189091599
btc_task_014,BTC,SES,5,,193,,137.6207221630148,97.42986414924754,0.011447945036274328
btc_task_014,BTC,SeasonalNaive,5,,193,,413.21588783789286,346.0839378238343,0.04092050723553246
btc_task_014,BTC,Theta,5,,193,,141.3773940162054,99.86140909470353,0.01174267683798866
btc_task_015,BTC,AdaptSmooth-Chronos2,5,,345,,550.954295305081,357.76986903008856,0.00910781490501425
btc_task_015,BTC,AutoARIMA,5,,345,,602.7059129183825,404.831148698698,0.010221845766908561
btc_task_015,BTC,Chronos2,5,,345,,571.029678153066,381.14927536231886,0.00970833347979836
btc_task_015,BTC,ChronosBolt_Mini,5,,345,,571.5150532699928,367.9628405797102,0.00931797795358256
btc_task_015,BTC,ChronosBolt_Tiny,5,,345,,597.0957050940317,390.93368115942036,0.009923780800845388
btc_task_015,BTC,Drift,5,,345,,543.6095201961564,353.80709936886706,0.009018775169089797
btc_task_015,BTC,ETS,5,,345,,551.5956790100701,357.3217691929053,0.009139188956528483
btc_task_015,BTC,LocalDLinear_L5_K3_ep20,5,,345,,669.8305237804865,435.69430525362316,0.011069239516168573
btc_task_015,BTC,LocalFITS_L5_Cauto_ep20,5,,345,,573.8799622573483,379.57430842391295,0.009675961571550616
btc_task_015,BTC,Naive,5,,345,,540.1301349669542,351.52107246376806,0.008958548043786428
btc_task_015,BTC,SES,5,,345,,540.6262560011997,348.49655234120405,0.008887238829347242
btc_task_015,BTC,SeasonalNaive,5,,345,,1509.8081128147242,1024.0129855072464,0.025755741797690457
btc_task_015,BTC,Theta,5,,345,,541.9509183346806,348.9589047423891,0.008896970157321823
btc_task_016,BTC,AdaptSmooth-Chronos2,5,,185,,158.57626985575965,112.88009246638222,0.007249268481416025
btc_task_016,BTC,AutoARIMA,5,,185,,157.41681891150077,110.57054054054059,0.007101359059495553
btc_task_016,BTC,Chronos2,5,,185,,160.85225220007905,114.76583783783786,0.007374664343031884
btc_task_016,BTC,ChronosBolt_Mini,5,,185,,163.11352541396738,119.54605405405408,0.007678928429608922
btc_task_016,BTC,ChronosBolt_Tiny,5,,185,,159.76438093710445,117.22356756756761,0.007524056269538289
btc_task_016,BTC,Drift,5,,185,,160.96967394980268,111.38823592655469,0.007141698743387984
btc_task_016,BTC,ETS,5,,185,,160.14592488067817,111.37590127469753,0.007143868993345491
btc_task_016,BTC,LocalDLinear_L5_K3_ep20,5,,185,,188.6503117447377,130.4668310810811,0.008370130941920845
btc_task_016,BTC,LocalFITS_L5_Cauto_ep20,5,,185,,169.0681602617582,115.04858931587844,0.007383107762907006
btc_task_016,BTC,Naive,5,,185,,157.41681891150077,110.57054054054059,0.007101359059495553
btc_task_016,BTC,SES,5,,185,,157.6790656708941,110.7177869307593,0.007110608900415938
btc_task_016,BTC,SeasonalNaive,5,,185,,372.4826340831389,309.4594054054055,0.01985767545764158
btc_task_016,BTC,Theta,5,,185,,159.21271358548026,110.72302229472992,0.007109176292292772
btc_task_017,BTC,AdaptSmooth-Chronos2,5,,99,,191.25428981355992,140.65578545358827,0.014057212487625984
btc_task_017,BTC,AutoARIMA,5,,99,,322.9613437977187,246.84239264164006,0.025305455621911218
btc_task_017,BTC,Chronos2,5,,99,,198.32307865773674,146.26575757575756,0.014615449812248013
btc_task_017,BTC,ChronosBolt_Mini,5,,99,,192.97056847084116,142.03282828282823,0.014216394447377526
btc_task_017,BTC,ChronosBolt_Tiny,5,,99,,185.616918129678,139.15909090909088,0.013876133921746671
btc_task_017,BTC,Drift,5,,99,,186.74283583701364,136.352867757919,0.013517866101205585
btc_task_017,BTC,ETS,5,,99,,186.8750615775381,135.06232289987375,0.01338959249603315
btc_task_017,BTC,LocalDLinear_L5_K3_ep20,5,,99,,255.45257855748412,196.1190763099748,0.019937418726529575
btc_task_017,BTC,LocalFITS_L5_Cauto_ep20,5,,99,,210.8620654867294,159.58803188131313,0.015964940527813515
btc_task_017,BTC,Naive,5,,99,,188.33887786421445,141.48404040404034,0.014128042964398433
btc_task_017,BTC,SES,5,,99,,189.39445655731745,140.56745453724494,0.014034718808927921
btc_task_017,BTC,SeasonalNaive,5,,99,,624.9303104451978,548.9030303030304,0.056723390226920634
btc_task_017,BTC,Theta,5,,99,,186.64735281966597,137.77240009902798,0.013724746287511198
btc_task_018,BTC,AdaptSmooth-Chronos2,5,,204,,93.09700067048662,60.08348394165103,0.008719375184074762
btc_task_018,BTC,AutoARIMA,5,,204,,96.07163115510137,63.89351346978321,0.009222648247331083
btc_task_018,BTC,Chronos2,5,,204,,95.6852347979213,63.16024509803919,0.009149950049953998
btc_task_018,BTC,ChronosBolt_Mini,5,,204,,97.29021796293041,65.21671568627448,0.009454243104039904
btc_task_018,BTC,ChronosBolt_Tiny,5,,204,,102.14226066244711,69.50651960784312,0.010094017025646078
btc_task_018,BTC,Drift,5,,204,,90.29827471353208,59.7058499445421,0.00866100143597296
btc_task_018,BTC,ETS,5,,204,,90.35718075338558,59.949988147779834,0.008694029356553343
btc_task_018,BTC,LocalDLinear_L5_K3_ep20,5,,204,,114.03165502936768,80.28552667356004,0.01157618858930335
btc_task_018,BTC,LocalFITS_L5_Cauto_ep20,5,,204,,96.29464303759849,64.86020660998773,0.009398580606930076
btc_task_018,BTC,Naive,5,,204,,91.2502277971908,58.99877450980392,0.00856038734426591
btc_task_018,BTC,SES,5,,204,,91.32568714713796,59.12066566189115,0.008577010664033198
btc_task_018,BTC,SeasonalNaive,5,,204,,279.9098764632407,209.6138725490196,0.030236366736841765
btc_task_018,BTC,Theta,5,,204,,90.39260952054413,58.96090412815267,0.008549966491555844
btc_task_019,BTC,AdaptSmooth-Chronos2,5,,347,,64.05903155236052,41.37026336354611,0.004881243514707686
btc_task_019,BTC,AutoARIMA,5,,347,,61.58526251158814,40.48165087189536,0.004769861159167599
btc_task_019,BTC,Chronos2,5,,347,,68.54547468441527,45.8637463976945,0.005392029268233513
btc_task_019,BTC,ChronosBolt_Mini,5,,347,,69.11235659838357,46.45567723342937,0.005453819907583987
btc_task_019,BTC,ChronosBolt_Tiny,5,,347,,64.9881817808558,44.50126801152737,0.005221183584618951
btc_task_019,BTC,Drift,5,,347,,61.54655449596547,41.040945122187566,0.004834317483144976
btc_task_019,BTC,ETS,5,,347,,66.41593430113015,42.91182656198226,0.005050819345145671
btc_task_019,BTC,LocalDLinear_L5_K3_ep20,5,,347,,81.69976922403028,51.80713976945243,0.006078059428788887
btc_task_019,BTC,LocalFITS_L5_Cauto_ep20,5,,347,,66.60162655273434,42.46546441597622,0.005000679365101038
btc_task_019,BTC,Naive,5,,347,,62.80433459177678,38.786484149855895,0.004581441880311822
btc_task_019,BTC,SES,5,,347,,62.930139959749184,38.95174133108181,0.0046003531893436915
btc_task_019,BTC,SeasonalNaive,5,,347,,202.43785005850867,142.42688760806917,0.016732083277162496
btc_task_019,BTC,Theta,5,,347,,62.04435090366775,39.47315704223538,0.004655154630267036
